record_id,reference_id,date,entity,description,amount,taxable_amount,tax_rate,tax_amount,total_amount,currency,source
TXN-LEDGER-1154,INV-2026-2154,2026-08-05,Snowflake Data Cloud,Gross amount billed INV-2026-2154,6452.12,,,,,USD,source_a_ledger
TXN-LEDGER-1155,INV-2026-2155,2026-08-06,Notion Labs,Gross amount billed INV-2026-2155,1891.55,,,,,USD,source_a_ledger
TXN-LEDGER-1156,INV-2026-2156,2026-08-07,Intercom Support,Gross amount billed INV-2026-2156,3084.02,,,,,USD,source_a_ledger
TXN-LEDGER-1157,INV-2026-2157,2026-08-08,Cloudflare Edge,Gross amount billed INV-2026-2157,4387.98,,,,,USD,source_a_ledger
TXN-LEDGER-1158,INV-2026-2158,2026-08-09,Zendesk Support,Gross amount billed INV-2026-2158,7265.55,,,,,USD,source_a_ledger
TXN-LEDGER-1159,INV-2026-2159,2026-08-10,Workday HRMS,Gross amount billed INV-2026-2159,3146.32,,,,,USD,source_a_ledger
TXN-LEDGER-1160,INV-2026-2160,2026-08-11,Acme Cloud Corp,Gross amount billed INV-2026-2160,3032.5,,,,,USD,source_a_ledger
TXN-LEDGER-1161,INV-2026-2161,2026-08-03,Stripe Payments,Initiated wire INV-2026-2161,540.77,,,,,USD,source_a_ledger
TXN-LEDGER-1162,INV-2026-2162,2026-08-03,Razorpay Software,Initiated wire INV-2026-2162,3229.29,,,,,USD,source_a_ledger
TXN-LEDGER-1163,INV-2026-2163,2026-08-03,AWS Infrastructure,Initiated wire INV-2026-2163,1298.92,,,,,USD,source_a_ledger
TXN-LEDGER-1164,INV-2026-2164,2026-08-03,Google Cloud Platform,Initiated wire INV-2026-2164,4546.02,,,,,USD,source_a_ledger
TXN-LEDGER-1165,INV-2026-2165,2026-08-03,Salesforce CRM,Initiated wire INV-2026-2165,4326.25,,,,,USD,source_a_ledger
TXN-LEDGER-1166,INV-2026-2166,2026-08-03,Slack Technologies,Initiated wire INV-2026-2166,540.12,,,,,USD,source_a_ledger
TXN-LEDGER-1167,INV-2026-2167,2026-08-03,Zoom Video Comm,Initiated wire INV-2026-2167,1342.42,,,,,USD,source_a_ledger
TXN-LEDGER-1168,INV-2026-2168,2026-08-03,Twilio API Services,Initiated wire INV-2026-2168,3411.09,,,,,USD,source_a_ledger
TXN-LEDGER-1169,INV-2026-2169,2026-08-03,Figma Design Systems,Initiated wire INV-2026-2169,1228.34,,,,,USD,source_a_ledger
TXN-LEDGER-1170,INV-2026-2170,2026-08-03,Datadog Monitoring,Initiated wire INV-2026-2170,835.1,,,,,USD,source_a_ledger
TXN-LEDGER-1171,INV-2026-2171,2026-08-22,Atlassian Jira,Pending invoice unpaid in bank: INV-2026-2171,3761.4,,,,,USD,source_a_ledger
TXN-LEDGER-1172,INV-2026-2172,2026-08-23,HubSpot Marketing,Pending invoice unpaid in bank: INV-2026-2172,2412.86,,,,,USD,source_a_ledger
TXN-LEDGER-1173,INV-2026-2173,2026-08-24,GitHub Enterprise,Pending invoice unpaid in bank: INV-2026-2173,2048.88,,,,,USD,source_a_ledger
TXN-LEDGER-1174,INV-2026-2174,2026-08-25,Snowflake Data Cloud,Pending invoice unpaid in bank: INV-2026-2174,3203.09,,,,,USD,source_a_ledger
TXN-LEDGER-1175,INV-2026-2175,2026-08-01,Notion Labs,Pending invoice unpaid in bank: INV-2026-2175,3287.74,,,,,USD,source_a_ledger
TXN-LEDGER-1181,INV-2026-2181,2026-08-07,Stripe Payments,Vendor payment INV-2026-2181,1958.15,,,,,USD,source_a_ledger
TXN-LEDGER-1181-DUP,INV-2026-2181,2026-08-07,Stripe Payments,Duplicate accidental entry: INV-2026-2181,1958.15,,,,,USD,source_a_ledger
TXN-LEDGER-1182,INV-2026-2182,2026-08-08,Razorpay Software,Vendor payment INV-2026-2182,1846.73,,,,,USD,source_a_ledger
TXN-LEDGER-1182-DUP,INV-2026-2182,2026-08-08,Razorpay Software,Duplicate accidental entry: INV-2026-2182,1846.73,,,,,USD,source_a_ledger
TXN-LEDGER-1183,INV-2026-2183,2026-08-09,AWS Infrastructure,Vendor payment INV-2026-2183,2468.33,,,,,USD,source_a_ledger
TXN-LEDGER-1183-DUP,INV-2026-2183,2026-08-09,AWS Infrastructure,Duplicate accidental entry: INV-2026-2183,2468.33,,,,,USD,source_a_ledger
TXN-LEDGER-1184,INV-2026-2184,2026-08-10,Google Cloud Platform,Vendor payment INV-2026-2184,696.84,,,,,USD,source_a_ledger
TXN-LEDGER-1184-DUP,INV-2026-2184,2026-08-10,Google Cloud Platform,Duplicate accidental entry: INV-2026-2184,696.84,,,,,USD,source_a_ledger
TXN-LEDGER-1185,INV-2026-2185,2026-08-11,Salesforce CRM,Vendor payment INV-2026-2185,1305.24,,,,,USD,source_a_ledger
TXN-LEDGER-1185-DUP,INV-2026-2185,2026-08-11,Salesforce CRM,Duplicate accidental entry: INV-2026-2185,1305.24,,,,,USD,source_a_ledger
TXN-LEDGER-1191,GENERIC-PAY-191,2026-08-16,Atlassian Jira,Subscription payment to Atlassian Jira,1250.0,,,,,USD,source_a_ledger
TXN-LEDGER-1192,GENERIC-PAY-192,2026-08-16,HubSpot Marketing,Subscription payment to HubSpot Marketing,1250.0,,,,,USD,source_a_ledger
TXN-LEDGER-1193,GENERIC-PAY-193,2026-08-16,GitHub Enterprise,Subscription payment to GitHub Enterprise,1250.0,,,,,USD,source_a_ledger
TXN-LEDGER-1194,GENERIC-PAY-194,2026-08-16,Snowflake Data Cloud,Subscription payment to Snowflake Data Cloud,1250.0,,,,,USD,source_a_ledger
TXN-LEDGER-1195,GENERIC-PAY-195,2026-08-16,Notion Labs,Subscription payment to Notion Labs,1250.0,,,,,USD,source_a_ledger
